ticker,name,logoid,close,MACD.hist,KltChnl.lower,KltChnl.upper,BB.lower,BB.upper,ATR,SMA20,volume,average_volume_10d_calc,Value.Traded,KltChnl.lower|1,KltChnl.upper|1,BB.lower|1,BB.upper|1,ATR|1,SMA20|1,volume|1,average_volume_10d_calc|1,Value.Traded|1,KltChnl.lower|5,KltChnl.upper|5,BB.lower|5,BB.upper|5,ATR|5,SMA20|5,volume|5,average_volume_10d_calc|5,Value.Traded|5,KltChnl.lower|15,KltChnl.upper|15,BB.lower|15,BB.upper|15,ATR|15,SMA20|15,volume|15,average_volume_10d_calc|15,Value.Traded|15,KltChnl.lower|30,KltChnl.upper|30,BB.lower|30,BB.upper|30,ATR|30,SMA20|30,volume|30,average_volume_10d_calc|30,Value.Traded|30,KltChnl.lower|60,KltChnl.upper|60,BB.lower|60,BB.upper|60,ATR|60,SMA20|60,volume|60,average_volume_10d_calc|60,Value.Traded|60,KltChnl.lower|120,KltChnl.upper|120,BB.lower|120,BB.upper|120,ATR|120,SMA20|120,volume|120,average_volume_10d_calc|120,Value.Traded|120,KltChnl.lower|240,KltChnl.upper|240,BB.lower|240,BB.upper|240,ATR|240,SMA20|240,volume|240,average_volume_10d_calc|240,Value.Traded|240,KltChnl.lower|1W,KltChnl.upper|1W,BB.lower|1W,BB.upper|1W,ATR|1W,SMA20|1W,volume|1W,average_volume_10d_calc|1W,Value.Traded|1W,KltChnl.lower|1M,KltChnl.upper|1M,BB.lower|1M,BB.upper|1M,ATR|1M,SMA20|1M,volume|1M,average_volume_10d_calc|1M,Value.Traded|1M,fired_timeframe,previous_volatility,current_volatility,volatility_increased,fired_timestamp,confluence,tf_order,SqueezeCount,highest_tf,URL,logo,rvol,momentum,squeeze_strength,HeatmapScore
NSE:JAINREC,JAINREC,,347.01,,,,,,,,7650824,,2654912436.24,344.7629572250278,348.6907370385769,342.9619734913145,350.05402650868535,1.021979315641744,346.5079999999999,76913,29915.7,26765724.0,341.24220280053885,349.9026275589939,341.3944172782162,348.7655827217842,2.049650248499304,345.0800000000002,171001,151452.8,59508348.0,337.45068967972634,352.61720969209205,340.78552554036474,350.2704744596353,3.9322514579504877,345.528,752413,227190.3,261839724.0,331.3569042123756,354.2205545655933,338.22942406558883,350.2365759344112,6.0774299774612235,344.233,752413,530450.5,261839724.0,321.2588986240278,355.4402279988849,315.7748852964814,358.5701147035185,9.342518900042036,337.17249999999996,752413,1341330.1,261839724.0,306.0252587950759,356.77729190043834,302.6343034833827,357.36269651661723,14.295192799449897,329.9985,752413,3253433.3,261839724.0,,,,,25.870714285714275,,2197909,8807702.0,764872332.0,,,,,,,88323260,,30649054452.6,,,,,,,157335440,,54596971034.4,15m,0.9878478167047675,1.2060455721992613,True,2025-10-11 12:34:22.352128,True,4,2,15m,https://in.tradingview.com/chart/N8zfIJVK/?symbol=NSE%3AJAINREC,,3.311818330272023,Neutral,FIRED (Confluence),1.9971019165764623
NSE:NTPC,NTPC,ntpc,339.7,-0.38529776522097325,326.77704664352035,348.6885563248981,330.8741557890166,345.9408442109827,5.4099622695529535,338.40749999999963,8970962,9968244.69999997,3047435791.4,338.8464468218321,340.1218138264887,338.5950990152953,340.6149009847052,0.2942088387357132,339.60500000000025,29477,45300.9,9986807.6,338.89240777732846,340.9119359529218,339.2365576377377,340.6634423622606,0.48233549274823495,339.94999999999914,171013,183759.0,57939204.4,338.0164152419722,341.3532072478101,339.17104817401656,341.5789518259839,0.8707602977369396,340.3750000000002,658696,459937.0,223166204.8,336.1931408565933,341.2546926974699,333.89210400415607,343.17289599584467,1.3111238088392299,338.53250000000037,658696,750271.1,223166204.8,334.1963388333387,341.4941688727423,330.58278044154474,342.08221955845477,1.8636721639157618,336.33249999999975,658696,1198977.5,223166204.8,333.040966498725,342.70131211994027,332.5904308423197,341.71456915768084,2.4305712487714954,337.15250000000026,658696,2204274.9,223166204.8,330.86707552741535,345.7485608969865,333.9619582346493,343.6530417653506,3.6826883875330867,338.80749999999995,4236131,5352249.9,1435201182.8,313.6364627205496,361.39502477366443,327.1125236673971,344.277476332603,13.188940828435504,335.69500000000005,53585580,43536412.29999997,18203021526.0,265.3365773875047,398.7189737698976,288.5175489201503,429.00745307984954,33.63971936538482,358.76250099999993,68114485,243511157.89999986,23138490554.5,4H,0.650732795320381,1.3157620888463346,True,2025-10-11 12:34:22.352128,True,8,2,4H,https://in.tradingview.com/chart/N8zfIJVK/?symbol=NSE%3ANTPC,https://s3-symbol-logo.tradingview.com/ntpc.svg,0.7914673416127299,Neutral,FIRED (Confluence),0.5206913613270105
NSE:ONGC,ONGC,oil-and-natural-gas,246.34,0.7166866172470265,232.6438404644037,248.7305333289437,231.35140259056755,247.54859740943238,3.875826335942866,239.44999999999996,9050771,9060662.700000035,2229566928.14,245.86729766292626,246.60034855800643,245.8530692683472,246.77693073165233,0.1676661164077995,246.31499999999977,51944,110776.9,12773029.6,245.5422825238721,246.94617614677745,245.88502983167524,246.72297016832255,0.3271941512470344,246.3039999999989,530261,368055.6,130391179.9,244.7712995105184,247.01694266680013,245.58005795014205,246.63694204985805,0.5856657964877863,246.10850000000005,1627796,521024.0,400275036.40000004,243.69397314135347,246.95370171295696,242.37486728595138,247.86613271404832,0.8692196220290956,245.12049999999985,1627796,647811.7,400275036.40000004,242.39592806842285,247.22112470208623,240.79624869890642,247.28175130109344,1.2740116876662657,244.03899999999993,1627796,1340229.3,400275036.40000004,240.80850657023984,247.6157066279407,241.56503795366132,247.65796204633892,1.7460985701770781,244.61150000000012,1627796,2081990.9,400275036.40000004,237.21839862890073,248.28943470203797,237.68217395055495,247.75382604944485,2.7091384522353823,242.7179999999999,5052501,4527797.5,1242409995.9,222.76216396194877,257.6559378000351,229.35012147436484,251.5048785256349,9.847075144027176,240.42749999999987,45380283,40369106.40000011,11178978914.22,189.4805733681098,295.2710573438372,203.3362423866448,320.3587606133551,27.34487295210121,261.84750149999996,66458203,226573237.9999999,16371313727.02,4H,1.1249409965510522,1.858829343066522,True,2025-10-11 12:34:22.353297,True,8,2,4H,https://in.tradingview.com/chart/N8zfIJVK/?symbol=NSE%3AONGC,https://s3-symbol-logo.tradingview.com/oil-and-natural-gas.svg,1.1158849308079701,Neutral,FIRED (Confluence),1.0371198264358052
NSE:POWERGRID,POWERGRID,power-grid,289.15,0.37452895914629375,275.02654180490794,297.04445758212006,279.7729280311966,292.98707196880247,5.359011877410159,286.37999999999954,10773268,12829363.799999986,3115090442.2,288.5512156091721,289.39612295088807,288.5928685625956,289.5421314374036,0.20209176995819897,289.0674999999996,9727,48812.9,2805753.15,288.1261449435177,289.81525592762966,288.32221714468966,289.53778285531195,0.41294233020860877,288.9300000000008,197813,203506.5,57059159.849999994,287.42457160101367,290.29229984479684,288.4954001074417,289.99459989255877,0.7510598150492165,289.24500000000023,806923,479364.5,232756939.35,286.1183471364813,290.4920493093161,284.6974363805747,291.67256361942543,1.1464293381411415,288.18500000000006,806923,857014.8,232756939.35,284.31828069643666,290.8253667336344,282.87090149294585,290.6140985070545,1.6911654727074847,286.7425000000002,806923,1700823.4,232756939.35,282.7588321641162,291.33638788965646,283.5584418079096,291.01655819209043,2.226360136582176,287.2875,806923,2743176.1,232756939.35,279.4626123161095,293.3803287175778,278.28770599567093,291.637294004329,3.473836352491209,284.9625,4596481,5418368.1,1325854944.45,266.3559728023858,311.6087806111631,277.9465243314486,300.64347566855156,12.128814919545386,289.2950000000001,54551252,53956322.69999999,15773494515.8,225.3767330714411,342.5306200374964,253.78559771064204,355.4794032893577,29.352514145346095,304.6325004999999,85961162,242125025.0,24855669992.3,2H,0.9356623663424531,1.6749573129777267,True,2025-10-11 12:34:22.355485,True,7,3,2H,https://in.tradingview.com/chart/N8zfIJVK/?symbol=NSE%3APOWERGRID,https://s3-symbol-logo.tradingview.com/power-grid.svg,0.2941564706691634,Neutral,FIRED (Confluence),0.2463497658535167
NSE:TATAPOWER,TATAPOWER,tata,390.1,-0.26579468931929595,376.46247538904674,403.241591187676,383.1056103598472,398.87438964015405,6.57821441743079,390.99000000000063,7725390,4509020.799999905,3013674639.0,389.66435382988027,390.69501333460323,389.6817359823799,390.5332640176207,0.2538772575794583,390.1075000000003,51246,57679.3,20011563.0,389.67214370231653,391.8231227665428,389.86044490691137,391.4895550930866,0.5431831932445429,390.674999999999,344128,140102.2,134381984.0,389.41991949150525,393.3623381267302,389.25725412528374,395.332745874717,1.0668151766500167,392.29500000000036,790222,302525.2,308581691.0,387.7591727332736,394.0569391650916,385.3587711700175,396.65122882998224,1.647858652972543,391.0049999999999,790222,475559.9,308581691.0,385.70488716684747,395.1940827553527,382.898996870302,395.36100312969717,2.3835093497242554,389.1299999999996,790222,986052.3,308581691.0,383.8432412219473,396.70115607902346,383.9417715348996,397.31822846509993,3.188723730171279,390.62999999999977,790222,1536595.1,308581691.0,380.92037705550916,399.9520919893201,383.33579524283857,396.44420475716197,4.628510064061127,389.89000000000027,2748453,2766969.1,1073270896.5,355.8655289275717,422.2601935215825,374.6974597124259,409.2925402875738,18.072165912643545,391.99499999999983,27886539,20130402.0,10878538863.900002,288.52195033551516,468.019671822604,338.4401683592464,476.6248336407533,45.7465044697765,407.53250099999985,34749296,118391115.90000038,13555700369.6,4H,0.9571370897758495,1.4160506656457255,True,2025-10-11 12:34:22.351072,True,8,3,4H,https://in.tradingview.com/chart/N8zfIJVK/?symbol=NSE%3ATATAPOWER,https://s3-symbol-logo.tradingview.com/tata.svg,0.9933081652411658,Neutral,FIRED (Confluence),0.7032873442905435
NSE:GRSE,GRSE,garden-reach-shipbuilders-and-en,2660.0,7.08680282948972,2410.8413918465576,2851.5358039246257,2460.9275872177313,2804.3924127822665,111.42692393076366,2632.659999999999,1324205,1525723.7,3522385300.0,2656.514233642251,2666.4958123014026,2656.294548346366,2665.815451653643,2.5329052756695494,2661.0550000000044,7794,5619.9,20755422.0,2658.0711266835924,2679.324903164543,2652.255006699251,2685.8049933007374,5.492061988585422,2669.0299999999943,21981,22865.1,58535403.0,2662.0129000010816,2708.9780259233635,2651.3224219892054,2729.4375780107894,12.637705032048931,2690.3799999999974,93048,37326.6,247786824.0,2657.4658559089853,2730.5916070068474,2657.638993616657,2749.131006383339,19.247499941918054,2703.384999999998,93048,56555.2,247786824.0,2646.3133997326804,2746.2101319857384,2653.27795789572,2739.992042104275,26.228472913707662,2696.6349999999975,93048,158692.7,247786824.0,2616.4246618150974,2764.057355775747,2656.571666000853,2752.6683339991423,38.92711023189115,2704.6199999999976,93048,265651.2,247786824.0,2541.920899560445,2800.2561403434374,2503.8475429106625,2805.782457089336,66.98655529374332,2654.814999999999,363064,592188.4,966839432.0,2024.5210024963242,3052.0856885510666,2212.8523795171914,3266.4776204828113,264.4312609519615,2739.6650000000013,5963833,6829834.5,15863795780.0,966.6658081546027,2973.969133574038,703.2784678812845,3169.2515421187154,454.5924955653654,1936.265005,10880111,44245950.5,28941095260.0,1H,1.2343154606883957,1.6530524764793992,True,2025-10-11 12:34:54.110212,True,6,1,1H,https://in.tradingview.com/chart/N8zfIJVK/?symbol=NSE%3AGRSE,https://s3-symbol-logo.tradingview.com/garden-reach-shipbuilders-and-en.svg,0.586340770558444,Neutral,FIRED (Confluence),0.48462603141623756
NSE:HCLTECH,HCLTECH,hcl-technologies,1495.5,10.458703778273795,1388.8522314412942,1497.4158171308165,1367.5451837666426,1515.6948162333563,27.164572190848634,1441.6199999999994,2129445,2349865.4,3184584997.5,1492.3179218602768,1497.363840120037,1493.5421965897795,1496.8178034102184,1.1939456608688315,1495.179999999999,4407,7995.4,6578769.6,1488.139555175939,1497.7650574086695,1487.2195535042708,1497.6904464957272,2.3595345516171045,1492.454999999999,38444,43419.9,57389203.199999996,1481.5132827550663,1499.0954198271572,1485.6861780061638,1495.2138219938363,4.676893426057417,1490.45,124307,86415.7,185565489.6,1472.6995720117995,1499.516407937623,1482.2080080789087,1495.7019919210938,7.046490380079057,1488.9550000000013,124307,120764.5,185565489.6,1456.3625730628048,1494.141494894751,1440.1911322607225,1510.7788677392778,9.586258758923321,1475.4850000000001,124307,324098.6,185565489.6,1436.8862334487428,1484.734455482548,1398.6453660199902,1512.9146339800066,11.96912026806923,1455.7799999999984,124307,547098.6,185565489.6,1408.6988327802594,1481.289789219781,1347.5529757030915,1500.287024296915,18.02086989962005,1423.9200000000033,730935,1008857.3,1091139768.0,1369.6458026662447,1649.1440285850383,1312.5903370647115,1768.659662935287,72.57301658911192,1540.6249999999993,10110305,13229774.39999998,15119961127.5,1200.9296148628832,1872.1337847688333,1274.2986648884726,1930.3313351115276,164.20824577286686,1602.315,15157671,59233701.90000013,22668296980.5,15m,0.9574967901988197,1.018586818184589,True,2025-10-11 12:34:54.132174,True,4,2,15m,https://in.tradingview.com/chart/N8zfIJVK/?symbol=NSE%3AHCLTECH,https://s3-symbol-logo.tradingview.com/hcl-technologies.svg,1.43847703600156,Neutral,FIRED (Confluence),0.7326068735662137
NSE:KOTAKBANK,KOTAKBANK,kotak-mahindra-bank,2150.1,13.888730359784969,1992.9532126658476,2136.951200721153,1936.3571261149038,2167.962873885093,35.26194593681544,2052.1599999999985,1936242,3754709.4,4163113924.2,2147.9125157307053,2153.299579794766,2149.5433388075803,2151.576661192423,1.2286348163030314,2150.5600000000018,17319,17818.7,37254900.9,2144.1012795544843,2155.0802390779204,2146.583859804022,2152.1761401959784,2.814542933661764,2149.38,71917,47995.5,154700658.7,2137.592394892011,2157.8451694749183,2138.946635029701,2154.6633649702976,5.345051344607014,2146.8049999999994,252185,102065.8,542475153.5,2129.8108486080705,2158.875599986926,2139.1662749240595,2153.773725075941,7.720895396365336,2146.4700000000003,252185,157760.0,542475153.5,2117.0673762810493,2159.8191132650236,2105.801838482482,2164.068161517518,11.422725527351036,2134.935,252185,338920.8,542475153.5,2098.549643573193,2155.4107814796707,2111.5591738932562,2162.4008261067465,14.94112887018125,2136.9800000000014,252185,546571.3,542475153.5,2053.390286017317,2146.12473901363,1952.7570135811075,2212.602986418893,23.239001812343528,2082.6800000000003,920849,1354086.8,1980838283.8999999,1878.8590316045877,2216.315826231784,1891.8707259704581,2239.439274029545,85.4015101174381,2065.6550000000016,13608009,16393946.0,29258580150.899998,1593.3001921143516,2314.671872405143,1565.39893661594,2246.6860633840606,178.90669524963525,1906.0425000000002,24459890,77424712.6,52591209489.0,15m,0.9459686604974632,1.4702131866753843,True,2025-10-11 12:34:54.132174,True,4,2,15m,https://in.tradingview.com/chart/N8zfIJVK/?symbol=NSE%3AKOTAKBANK,https://s3-symbol-logo.tradingview.com/kotak-mahindra-bank.svg,2.470808047357685,Neutral,FIRED (Confluence),1.8163072864844627
NSE:LAURUSLABS,LAURUSLABS,laurus-labs,876.75,-2.6039732671887372,820.0454031219246,925.571734264328,826.4602958170615,936.409704182938,25.55220230660817,881.4349999999997,3985430,2521988.5,3494225752.5,874.5694306900159,879.402203677146,875.0854233242803,878.8645766757168,1.1399383783479478,876.9749999999985,18230,9863.1,15991356.0,872.7963010234038,882.7300253539687,874.7858712056279,880.5241287943611,2.6236854048972806,877.6549999999945,49230,36869.0,43184556.0,864.888110864262,885.4067834275122,851.977973774342,897.5820262256593,5.379991330890932,874.7800000000007,169454,90425.4,148645048.8,855.6417552023556,886.5204439190948,849.0488118676453,890.2911881323571,7.677217044586738,869.6700000000012,169454,334457.6,148645048.8,846.8929856031217,889.5380253654763,844.0734974045813,885.5865025954208,10.184254994031026,864.8300000000011,169454,512582.3,148645048.8,839.3718881678575,892.9162124531173,847.2023020956314,880.2676979043684,12.678358375028935,863.7349999999999,169454,712568.9,148645048.8,833.9064928315499,905.2658462200652,826.7281906241076,889.4968093758916,17.311539234033372,858.1124999999996,840542,1091317.0,737323442.4000001,698.7396838842972,915.424122780599,616.1340833512286,988.980916648771,52.6531293406195,802.5574999999998,10928608,8196600.7,9581657064.0,451.7489509484867,827.3572625604725,278.9195142265313,906.8154847734687,88.61406501259583,592.8674995,14998851,47937210.0,13150242614.25,1m,1.304009353208618,1.6576130004997995,True,2025-10-11 12:34:54.110212,True,2,1,1m,https://in.tradingview.com/chart/N8zfIJVK/?symbol=NSE%3ALAURUSLABS,https://s3-symbol-logo.tradingview.com/laurus-labs.svg,1.848303271790816,Neutral,FIRED (Confluence),1.5318857660933856
NSE:LT,LT,larsen-and-toubro,3784.0,9.042233281909787,3574.2964246666243,3810.0438443421017,3582.500233061783,3790.5997669382227,58.65736271995047,3686.550000000003,1129678,2174739.600000006,4274701552.0,3779.3528456930094,3787.706619105274,3780.833063915936,3786.6069360840684,2.044778550357263,3783.720000000002,5527,6260.3,20886533.0,3777.0664131990784,3794.708807242568,3780.3302571189224,3794.3297428810492,4.455163253314628,3787.329999999986,32296,20226.9,122046584.0,3769.021903424774,3800.530178236837,3779.5557955584973,3795.4242044414914,8.331688513740291,3787.4899999999943,90528,42741.6,342105312.0,3755.431166725739,3801.5375931747594,3755.5717351487465,3801.9782648512682,12.464713268185717,3778.7750000000074,90528,90912.8,342105312.0,3730.862324997181,3803.7767859849605,3718.747550659241,3807.702449340768,19.279890962515413,3763.2250000000045,90528,195486.9,342105312.0,3702.4362010922437,3802.6767790840927,3708.7596483074126,3796.550351692576,26.489559128278056,3752.6549999999943,90528,356236.4,342105312.0,3650.604623201592,3807.3183915670184,3651.2244512384186,3803.385548761592,39.92314554226516,3727.3050000000053,377915,761691.1,1428140785.0,3357.0172245439117,3867.7725170814247,3454.472601889982,3788.2273981100207,134.13840397329548,3621.3500000000013,7637011,7496049.9,28898449624.0,2832.3093688448744,4133.763343415519,3323.3767127300284,3908.208267269971,323.7583205022293,3615.79249,11601163,37683784.7,43898800792.0,Weekly,0.9031915436686295,1.2440687615698904,True,2025-10-11 12:34:54.110212,True,9,6,Weekly,https://in.tradingview.com/chart/N8zfIJVK/?symbol=NSE%3ALT,https://s3-symbol-logo.tradingview.com/larsen-and-toubro.svg,1.0188047174018946,Neutral,FIRED (Confluence),0.6337315615298686
